Product_Page,Product_Handle,Product_Title_HE,Product_ID,Product_Available,Price_Max,Price_Min,Published_At,Tags,Variant_Title,Variant_Available,Variant_Qty,Variant_Price,Variant_Currency,Published_Date,Published_Time,Tags_List
https://agilite.co.il/products/k-zero-bundle,k-zero-bundle,חבילת קרמון  ™K-Zero מזווד ,9275738718493,True,1764.0,1764.0,2024-05-12 18:38:17+03:00,SaleIL,לארג',True,44,1764.0,ILS,2024-05-12,18:38:17,['SaleIL']
https://agilite.co.il/products/k-zero-plate-carrier,k-zero-plate-carrier,K-Zero™-  קרמון מיוחדות,8080332456221,True,1229.0,1189.0,2023-01-17 15:54:31+02:00,SaleIL,ירוק ריינג'ר / (10x12 or SAPI Medium) - מדיום ,True,113,1189.0,ILS,2023-01-17,15:54:31,['SaleIL']
https://agilite.co.il/products/k-zero-plate-carrier,k-zero-plate-carrier,K-Zero™-  קרמון מיוחדות,8080332456221,True,1229.0,1189.0,2023-01-17 15:54:31+02:00,SaleIL,ירוק ריינג'ר / (SAPI Large)- גדול  ,True,44,1189.0,ILS,2023-01-17,15:54:31,['SaleIL']
https://agilite.co.il/products/k-zero-plate-carrier,k-zero-plate-carrier,K-Zero™-  קרמון מיוחדות,8080332456221,True,1229.0,1189.0,2023-01-17 15:54:31+02:00,SaleIL,מולטיקם / (10x12 or SAPI Medium) - מדיום ,False,0,1229.0,ILS,2023-01-17,15:54:31,['SaleIL']
https://agilite.co.il/products/k-zero-plate-carrier,k-zero-plate-carrier,K-Zero™-  קרמון מיוחדות,8080332456221,True,1229.0,1189.0,2023-01-17 15:54:31+02:00,SaleIL,מולטיקם / (SAPI Large)- גדול  ,False,0,1229.0,ILS,2023-01-17,15:54:31,['SaleIL']
https://agilite.co.il/products/k-zero-plate-carrier,k-zero-plate-carrier,K-Zero™-  קרמון מיוחדות,8080332456221,True,1229.0,1189.0,2023-01-17 15:54:31+02:00,SaleIL,שחור / (10x12 or SAPI Medium) - מדיום ,True,101,1189.0,ILS,2023-01-17,15:54:31,['SaleIL']
https://agilite.co.il/products/k-zero-plate-carrier,k-zero-plate-carrier,K-Zero™-  קרמון מיוחדות,8080332456221,True,1229.0,1189.0,2023-01-17 15:54:31+02:00,SaleIL,שחור / (SAPI Large)- גדול  ,False,0,1189.0,ILS,2023-01-17,15:54:31,['SaleIL']
https://agilite.co.il/products/k-zero-plate-carrier,k-zero-plate-carrier,K-Zero™-  קרמון מיוחדות,8080332456221,True,1229.0,1189.0,2023-01-17 15:54:31+02:00,SaleIL,חום / (10x12 or SAPI Medium) - מדיום ,False,0,1189.0,ILS,2023-01-17,15:54:31,['SaleIL']
https://agilite.co.il/products/k-zero-plate-carrier,k-zero-plate-carrier,K-Zero™-  קרמון מיוחדות,8080332456221,True,1229.0,1189.0,2023-01-17 15:54:31+02:00,SaleIL,חום / (SAPI Large)- גדול  ,False,0,1189.0,ILS,2023-01-17,15:54:31,['SaleIL']
https://agilite.co.il/products/k-zero-%D7%91%D7%94%D7%A0%D7%97%D7%AA-%D7%98%D7%9C%D7%92%D7%A8%D7%9D,k-zero-בהנחת-טלגרם,K-Zero™-  קרמון מיוחדות,9744573890845,True,990.0,990.0,2025-02-17 14:26:24+02:00,hidden,ירוק ריינג'ר / (10x12 or SAPI Medium) - מדיום ,True,113,990.0,ILS,2025-02-17,14:26:24,['hidden']
https://agilite.co.il/products/k-zero-%D7%91%D7%94%D7%A0%D7%97%D7%AA-%D7%98%D7%9C%D7%92%D7%A8%D7%9D,k-zero-בהנחת-טלגרם,K-Zero™-  קרמון מיוחדות,9744573890845,True,990.0,990.0,2025-02-17 14:26:24+02:00,hidden,ירוק ריינג'ר / (SAPI Large)- גדול  ,True,44,990.0,ILS,2025-02-17,14:26:24,['hidden']
https://agilite.co.il/products/k-zero-%D7%91%D7%94%D7%A0%D7%97%D7%AA-%D7%98%D7%9C%D7%92%D7%A8%D7%9D,k-zero-בהנחת-טלגרם,K-Zero™-  קרמון מיוחדות,9744573890845,True,990.0,990.0,2025-02-17 14:26:24+02:00,hidden,שחור / (10x12 or SAPI Medium) - מדיום ,True,101,990.0,ILS,2025-02-17,14:26:24,['hidden']
https://agilite.co.il/products/k-zero-%D7%91%D7%94%D7%A0%D7%97%D7%AA-%D7%98%D7%9C%D7%92%D7%A8%D7%9D,k-zero-בהנחת-טלגרם,K-Zero™-  קרמון מיוחדות,9744573890845,True,990.0,990.0,2025-02-17 14:26:24+02:00,hidden,שחור / (SAPI Large)- גדול  ,False,0,990.0,ILS,2025-02-17,14:26:24,['hidden']
